HS Code,Description,CD,SD,VAT,AIT,RD,ATV,
63019000,Blankets And Travelling Rugs; Nes,CD 25%,SD 20%,VAT 15%,AIT 5%,RD 3%,ATV 5%,91.37,
63021000,Bed Linen; Knitted Or Crocheted,CD 25%,SD 20%,VAT 15%,AIT 5%,RD 3%,ATV 5%,91.37,
63022100,Printed Bed-Linen Of Cotton (Excl. Knitted Or Crocheted),CD 25%,SD 20%,VAT 15%,AIT 5%,RD 3%,ATV 5%,91.37,
63022200,Printed Bed-Linen Of Man-Made Fibres (Excl. Knitted Or Crocheted),CD 25%,SD 20%,VAT 15%,AIT 5%,RD 3%,ATV 5%,91.37,
63022900,Printed Bed-Linen Of Other Textiles (Excl. Knitted Or Crocheted),CD 25%,SD 20%,VAT 15%,AIT 5%,RD 3%,ATV 5%,91.37,
63023100,Bed Linen Of Cotton (Excl. Printed; Knitted Or Crocheted),CD 25%,SD 20%,VAT 15%,AIT 5%,RD 3%,ATV 5%,91.37,
63023200,Bed Linen Of Man-Made Fibres (Excl. Printed; Knitted Or Crocheted),CD 25%,SD 20%,VAT 15%,AIT 5%,RD 3%,ATV 5%,91.37,
63023900,Bad Linen Of Other Textiles (Excl. Printed; Knitted Or Crocheted),CD 25%,SD 20%,VAT 15%,AIT 5%,RD 3%,ATV 5%,91.37,
63024000,Table Linen; Knitted Or Crocheted,CD 25%,SD 20%,VAT 15%,AIT 5%,RD 3%,ATV 5%,91.37,
63025100,Table Linen Of Cotton (Excl. Knitted Or Crocheted),CD 25%,SD 20%,VAT 15%,AIT 5%,RD 3%,ATV 5%,91.37,
63025300,Table Linen Of Man-Made Fibres (Excl. Knitted Or Crocheted),CD 25%,SD 20%,VAT 15%,AIT 5%,RD 3%,ATV 5%,91.37,
63025900,Table Linen Of Other Textiles; Nes (Excl. Knitted Or Crocheted),CD 25%,SD 20%,VAT 15%,AIT 5%,RD 3%,ATV 5%,91.37,
63026000,Toilet Linen And Kitchen Linen; Of Terry Fabrics; Of Cotton,CD 25%,SD 20%,VAT 15%,AIT 5%,RD 3%,ATV 5%,91.37,
63029100,Linen Of Cotton; Nes,CD 25%,SD 20%,VAT 15%,AIT 5%,RD 3%,ATV 5%,91.37,
63029300,Linen Of Man-Made Fibres; Nes,CD 25%,SD 20%,VAT 15%,AIT 5%,RD 3%,ATV 5%,91.37,
63029900,Linen Of Other Textiles; Nes,CD 25%,SD 20%,VAT 15%,AIT 5%,RD 3%,ATV 5%,91.37,
63031200,Curtains; Etc; Bed Valances Of Synthetic Fibres; Knitted Or Crocheted,CD 25%,SD 20%,VAT 15%,AIT 5%,RD 3%,ATV 5%,91.37,
63031900,Curtains; Etc; Bed Valances Of Textile Materials; Knitted Or Crocheted,CD 25%,SD 20%,VAT 15%,AIT 5%,RD 3%,ATV 5%,91.37,
63039100,Curtains&Interior Blinds;Curtain/Bed Vlncs.Of Cotton(Exl.Knitted/Crocheted,CD 25%,SD 20%,VAT 15%,AIT 5%,RD 3%,ATV 5%,91.37,
63039200,Curtains&Intror.BlindsCurtain/Bed Vlncs.Of Synthtc.Fbrs.(Exl.Knitted/Cro.,CD 25%,SD 20%,VAT 15%,AIT 5%,RD 3%,ATV 5%,91.37,
63039900,Curtains&Intror.BlindsCurtain/Bed Valances Of Oth.Txtls.(Exl.Knitted/Croc,CD 25%,SD 20%,VAT 15%,AIT 5%,RD 3%,ATV 5%,91.37,
63041100,Knitted Or Crocheted Bedspreads,CD 25%,SD 20%,VAT 15%,AIT 5%,RD 3%,ATV 5%,91.37,
63041900,Bedspreads (Excl. Knitted Or Crocheted),CD 25%,SD 20%,VAT 15%,AIT 5%,RD 3%,ATV 5%,91.37,
63042000,Bed nets specified in Subheading Note 1 to this Chapter,CD 25%,SD 20%,VAT 15%,AIT 5%,RD 3%,ATV 5%,91.37,
63049100,Knitted Or Crocheted Furnishing Articles; Nes,CD 25%,SD 20%,VAT 15%,AIT 5%,RD 3%,ATV 5%,91.37,
63049200,Furnishing Articles; Nes; Of Cotton (Excl. Knitted Or Crocheted),CD 25%,SD 20%,VAT 15%,AIT 5%,RD 3%,ATV 5%,91.37,
63049300,Furnishing Articles Of Synthetic Fibres (Excl. Knitted Or Crocheted),CD 25%,SD 20%,VAT 15%,AIT 5%,RD 3%,ATV 5%,91.37,
63049900,Furnishing Articles Of Other Textiles (Excl. Knitted Or Crocheted),CD 25%,SD 20%,VAT 15%,AIT 5%,RD 3%,ATV 5%,91.37,
63051000,Sacks And Bags; Used For Packing Goods; Of Jute; Etc,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
63052000,Sacks And Bags; Used For Packing Goods; Of Cotton,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
63053200,Flexible Intermediate Bulk Containers; Of Man-Made Textile Materials,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
63053300,Sacks And Bags;For Packing Goods;Of Polyethylene/Polypropylene Strip Nes,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
63053900,Sacks And Bags; Used For Packing Goods; Of Man-Made Textile Fibres; Nes,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
63059000,Sacks And Bags; Used For Packing Goods; Of Other Textiles; Nes,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
63061200,Tarpaulins; Awnings And Sunblinds; Of Synthetic Fibres,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
63061900,Tarpaulins; Awnings And Sunblinds; Of Other Textiles; Nes,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
63062200,Tents Of Synthetic Fibres,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
63062900,Tents Of Textiles; (Excl. Cotton Or Synthetic Fibres),CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
63063000,Tents: Sails,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
63064000,Tents: Pneumatic mattresses,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
63069000,Other camping goods,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
63071000,Floor-Cloths; Dish-Cloths; Dusters And Similar Cleaning Cloths,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
63072000,Life-Jackets And Life-Belts,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
63079000,Made Up Articles (Incl. Dress Patterns); Nes,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
63080000,Sets Of Woven Fabric And Yarn; For Making Up Into Rugs; Etc; Prs,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
63090010,Used sweater Imported by VAT reg. blanket mfg.Ind.,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
63090090,Worn clothing & other worn articles excl. Imported by VAT reg. blanket mfg. Indus.,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
63101000,USED OR NEW RAGS; SCRAP TWINE; CORDAGE; ROPE AND CABLES AND WORN OUT ART..;SORTED,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
63109000,USED OR NEW RAGS; SCRAP TWINE; CORDAGE; ROPE AND CABLES AND WORN OUT ART..;EXCL. SORTED,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
64011000,Waterproof Footwear Incorporating A Protective Metal Toe-Cap...,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
64019200,Waterproof Footwear Covering The Ankle But Not The Knee,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
64019900,Waterproof Footwear Nes.,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
64021200,Ski-Boots;Cross-Country Ski Footwear/Snowboard Boots;Of Rubber Or Plastics,CD 25%,SD 45%,VAT 15%,AIT 5%,RD 3%,ATV 5%,130.19,
64021900,Sport Footwear; Nes; Of Rubber Or Plastics,CD 25%,SD 45%,VAT 15%,AIT 5%,RD 3%,ATV 5%,130.19,
64022000,Footwear With Upper Straps/Thongs Plugged Into Soles;Of Rubber Or Plastics,CD 25%,SD 45%,VAT 15%,AIT 5%,RD 3%,ATV 5%,130.19,
64029100,Footwear; Nes; Covering The Ankle Of Rubber Or Plastics,CD 25%,SD 45%,VAT 15%,AIT 5%,RD 3%,ATV 5%,130.19,
64029900,Footwear; Nes; Exl. Covering The Ankle; Of Rubber Or Plastics,CD 25%,SD 45%,VAT 15%,AIT 5%,RD 3%,ATV 5%,130.19,
64031200,Ski-Boots;Snowbrd Boots;With Rubber;Plastics;Leather Soles;& Leather Upper,CD 25%,SD 45%,VAT 15%,AIT 5%,RD 3%,ATV 5%,130.19,
64031900,Sports Footwear; With Rubber; Plastics; Leather...Soles; Leather Uppers,CD 25%,SD 45%,VAT 15%,AIT 5%,RD 3%,ATV 5%,130.19,
64032000,Footwear With Leather Soles And Straps (Over Instep; Around Big Toe),CD 25%,SD 45%,VAT 15%,AIT 5%,RD 3%,ATV 5%,130.19,
64034000,Footwear; With A Metal Toe-Cap; Leather Uppers,CD 25%,SD 45%,VAT 15%,AIT 5%,RD 3%,ATV 5%,130.19,
64035100,Footwear With Leather Soles And Uppers; Covering The Ankle,CD 25%,SD 45%,VAT 15%,AIT 5%,RD 3%,ATV 5%,130.19,
64035900,Footwear With Leather Soles And Uppers; Not Covering The Ankle,CD 25%,SD 45%,VAT 15%,AIT 5%,RD 3%,ATV 5%,130.19,
64039100,Footwear With Rubber... Soles And Leather Uppers; Covering The Ankle;Nes,CD 25%,SD 45%,VAT 15%,AIT 5%,RD 3%,ATV 5%,130.19,
64039900,Footwear With Rubber... Soles; Leather Uppers; Not Covering The Ankle,CD 25%,SD 45%,VAT 15%,AIT 5%,RD 3%,ATV 5%,130.19,
64041100,Sports Shoes; Etc; With Rubber Or Plastic Soles And Textile Uppers,CD 25%,SD 45%,VAT 15%,AIT 5%,RD 3%,ATV 5%,130.19,
64041900,Sports Footwear; With Rubber Or Plastic Soles And Textile Uppers,CD 25%,SD 45%,VAT 15%,AIT 5%,RD 3%,ATV 5%,130.19,
64042000,Footwear With Leather Or Composition Leather Soles And Textile Uppers,CD 25%,SD 45%,VAT 15%,AIT 5%,RD 3%,ATV 5%,130.19,
64051000,Footwear; Nes; With Leather Or Composition Leather Uppers,CD 25%,SD 45%,VAT 15%,AIT 5%,RD 3%,ATV 5%,130.19,
64052000,Footwear; Nes; With Textile Uppers,CD 25%,SD 45%,VAT 15%,AIT 5%,RD 3%,ATV 5%,130.19,
64059000,Footwear; Nes,CD 25%,SD 45%,VAT 15%,AIT 5%,RD 3%,ATV 5%,130.19,
64061010,Uppers And Parts Thereof (Excl. Stiffeners) Imp. By VAT reg. footwear manu.ind.,CD 25%,SD 20%,VAT 15%,AIT 5%,RD 3%,ATV 5%,91.37,
64061090,Uppers And Parts Thereof (Excl. Stiffeners); NES,CD 25%,SD 20%,VAT 15%,AIT 5%,RD 3%,ATV 5%,91.37,
64062010,Outer Soles And Heels Of Rubber Or Plastics Imp. By VAT reg. footwear manu.ind.,CD 25%,SD 20%,VAT 15%,AIT 5%,RD 3%,ATV 5%,91.37,
64062090,Other outer soles and heels; of rubber or plastics,CD 25%,SD 20%,VAT 15%,AIT 5%,RD 3%,ATV 5%,91.37,
64069000,Other Parts of footwear,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
65010000,Hat-Forms; Hat Bodies And Hoods Of Felt; Plateaux And Manchons Of Felt,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
65020000,Hat-Shapes; Plaited Or Made By Assembling Strips Of Any Material,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
65040000,Hats And Other Headgear; Plaited Or Assembled By Strips Of Any Material,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
65050000,Hats and other headgear; knitted or crocheted;  . trimmed; hair-nets of any material; wh,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
65061000,Safety Headgear,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
65069100,Hats And Other Headgear; Of Rubber Or Plastics,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
65069900,Hats And Other Headgear; Nes,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
65070000,Head-Bands; Linings; Covers; Hat Foundations; Etc; For Headgear,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
66011000,Garden Or Similar Umbrellas,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
66019100,Umbrellas And Sun Umbrellas; Having A Telescopic Shaft,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
66019900,Umbrellas And Sun Umbrellas; Nes,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
66020000,Walking-Sticks; Seat-Sticks; Whips; Riding-Crops And The Like,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
66032000,Umbrella Frames; Including Frames Mounted On Shafts (Sticks),CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
66039000,Parts; Trimmings And Accessories Of Articles Of 66.01 Or 66.02,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
67010000,Skins Of Birds With Feathers Or Down; Feathers; Etc,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
67021000,Artificial Flowers; Foliage And Fruit And Articles Thereof Of Plastics,CD 25%,SD 20%,VAT 15%,AIT 5%,RD 3%,ATV 5%,91.37,
67029000,Artificial Flowers; Foliage; Etc And Articles Thereof Of Other Materials,CD 25%,SD 20%,VAT 15%,AIT 5%,RD 3%,ATV 5%,91.37,
67030000,Human Hair; Dressed; Etc; Animal Hair And Synthetic Materials For Wigs,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
67041100,Complete Wigs Of Synthetic Textile Materials,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
67041900,False Beards; Eyebrows And Eyelashes; Etc; Of Synthetic Fibres,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
67042000,Wigs; False Beards; Eyebrows; Etc And Articles; Nes; Of Human Hair,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
67049000,Wigs;False Beards;Eyebrows;Etc Of Animal Hair Or Text;Material,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
68010000,Setts; Curbstones And Flagstones; Of Natural Stone (Except Slate),CD 10%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,38.47,
68021000,Tiles; Cubes...; Artificially Coloured Granules...; For Mosaics,CD 25%,SD 60%,VAT 15%,AIT 5%,RD 3%,ATV 5%,153.49,
68022100,Marble; Travertine; Alabaster; Cut/Sawn; With Flat/Even Surface,CD 25%,SD 60%,VAT 15%,AIT 5%,RD 3%,ATV 5%,153.49,
68022300,Granite; Cut/Sawn; With Flat/Even Surface,CD 25%,SD 60%,VAT 15%,AIT 5%,RD 3%,ATV 5%,153.49,
68022910,Silex/lining/abrasive/polishing disc imported by VAT regi.ceramic products manu.,CD 25%,SD 60%,VAT 15%,AIT 5%,RD 3%,ATV 5%,153.49,
68022990,Silex/lining/abrasive/polishing disc imported by other than VAT regi.ceramic prod,CD 25%,SD 60%,VAT 15%,AIT 5%,RD 3%,ATV 5%,153.49,
68029100,Marble; Travertine And Alabaster; Worked,CD 25%,SD 60%,VAT 15%,AIT 5%,RD 3%,ATV 5%,153.49,
68029200,Calcareous Stone (Excl. Marble; Travertine And Alabaster); Worked,CD 25%,SD 60%,VAT 15%,AIT 5%,RD 3%,ATV 5%,153.49,
68029300,Worked Granite,CD 25%,SD 60%,VAT 15%,AIT 5%,RD 3%,ATV 5%,153.49,
68029900,Monumental/Building Stone; Nes; Worked,CD 25%,SD 60%,VAT 15%,AIT 5%,RD 3%,ATV 5%,153.49,
68030000,Worked Slate And Articles Of Slate Or Of Agglomerated Slate,CD 25%,SD 60%,VAT 15%,AIT 5%,RD 3%,ATV 5%,153.49,
68041000,Millstones And Grindstones For Milling; Grinding Or Pulping,CD 10%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,38.47,
68042100,Millstones; etc; of agglomerated synthetic or natural diamond,CD 5%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,32.4,
68042200,Millstones; etc; of other agglomerated abrasives or of ceramics,CD 5%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,32.4,
68042300,Millstones; etc; of natural stone,CD 5%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,32.4,
68043000,Hand Sharpening Or Polishing Stones,CD 10%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,38.47,
68051000,NATURAL OR ARTIFICIAL ABRASIVE POWDER OR GRAIN..;ON A BASE OF WOVEN TEXTILE FABRIC ON,CD 10%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,38.47,
68052000,Natural Or Artificial Abrasive Powder/Grain; On Paper/Paperboard,CD 10%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,38.47,
68053000,Natural Or Artificial Abrasive Powder/Grain; On A Base Of Materials; Nes,CD 10%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,38.47,
68061000,Slag Wool; Rock Wool; Etc (Incl. Intermixtures) In Bulk; Sheets Or Rolls,CD 10%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,38.47,
68062000,Exfoliated Vermiculite; Expanded Clays; Etc (Incl. Intermixtures),CD 10%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,38.47,
68069000,OTH. WOOL;EXCL.SLAG WOOL;ROCK WOOLAND SIMILAR; EXFOLIATED VERMICULITE; EXPANDED CLAYS..,CD 10%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,38.47,
68071000,Articles Of Asphalt Or Of Similar Material; In Rolls,CD 10%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,38.47,
68079000,Articles Of Asphalt Or Of Similar Material (Excl. In Rolls),CD 10%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,38.47,
68080000,Panels; Boards...; Of Wood Waste; Etc; Agglomerated With Cement; Etc,CD 25%,SD 10%,VAT 15%,AIT 5%,RD 3%,ATV 5%,75.84,
68091100,Boards...; Of Plaster...; Reinforced With Paper Or Paperboard Only,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
68091900,Boards...; Of Plaster Or Compositions Based On Plaster; Nes,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
68099000,Articles Of Plaster Or Compositions Based On Plaster; Nes,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
68101100,Building Blocks And Bricks; Of Cement Or Artificial Stone Or Concrete,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
68101910,Railway Sleepers,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
68101990,Other Tiles;Flagstones;Bricks And Similar Articles (Excl.Railway Sleepers),CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
68109100,Prefabricated Structural Components For Building; Etc; Of Cement...,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
68109900,Articles Of Cement; Concrete Or Artificial Stone; Nes,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
68114000,Articles of asbestos-cement; of cellulose fibre-cement or the like. Containing,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
68118100,Articles of asbestos-cement;of cellulose fibre-cement or the like not Con...Cor,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
68118200,Arti.of asbestos-cement; of cellu...Not cont.asbestos.Ottr sheets; panels; tile,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
68118900,Arti of asb..Not containing asbestos; NES Other articles,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
68128000,Fabricated asbestos fibres; mixtures with a basis of asbestos?.. Of crocodile,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
68129100,Clothing; clothing accessories; footwear and headgear; Excl. Of crocodile,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
68129200,Paper; millboard and felt; Excl. Of crocodile,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
68129300,Compressed asbestos fibre jointing; in sheets or rolls; Excl. Of crocodile,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
68129900,Fabricated asbestos fibres;mixtures with a basis of asbestos or with a basis of,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
68132010,Friction material and articles containing asbestos Unfinished,CD 5%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,32.4,
68132090,Friction material ans articles Exlcuding unfinished,CD 15%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,44.53,
68138100,Friction material and articles thereof ..not Containing asbestos  Brake linings,CD 10%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,38.47,
68138900,Friction material and articles thereof ..not Containing asbestos  Excl. Brake l,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
68141000,Plates; Sheets And Strips Of Agglomerated Or Reconstituted Mica,CD 5%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,32.4,
68149000,Worked Mica And Articles Of Mica; Nes,CD 5%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,32.4,
68151000,Non-Electrical Articles Of Graphite Or Other Carbon (Incl. Carbon Fibres),CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
68152000,Articles Of Peat,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
68159100,Articles Containing Magnesite; Dolomite Or Chromite,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
68159900,Articles Of Stone Or Other Mineral Substances; Nes,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
69010010,Bricks; Blocks; Tiles... Of Siliceous Fossil Meals Or Earths,CD 1%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,27.55,
69010090,Bricks; Blocks; Tiles... Of Siliceous Fossil Meals Or Earths,CD 5%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,32.4,
69021000,Refractory Bricks; Blocks; Tiles...; >50% Mgo; Cao; Cr2o3,CD 1%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,27.55,
69022000,Refractory Bricks; Blocks...; >50% Silica (Sio3) Or Alumina (Al2o3),CD 1%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,27.55,
69029000,Refractory Bricks; Blocks; Tiles; Etc; Nes,CD 10%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,38.47,
69031010,Laboratory Articles; Weight >50% Of Graphite Or Other Carbon Or Of A Mix..,CD 1%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,27.55,
69031090,Other Refactory Ceramic Goods;Nes;>50% Of Graphite (Excl.Lab.Articles)....,CD 10%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,38.47,
69032010,Laboratory Articles; >50% Of Alumina (Al203) Or Silica (Sio2),CD 1%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,27.55,
69032020,Ceramic roller and alumina ball,CD 1%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,27.55,
69032030,Alumina liner imported by VAT registered ceramic or steel products manf. ind.,CD 10%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,38.47,
69032090,Refactory Ceramic Goods;Nes;>50% Of Alumina(Al203) Or Silica(Ex.Lab.Articl,CD 10%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,38.47,
69039010,Ceramic Ingot Moulds,CD 10%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,38.47,
69039020,Kiln furniture,CD 1%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,27.55,
69039090,Refactory Ceramic Goods; Nes,CD 10%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,38.47,
69041000,Ceramic Building Bricks,CD 25%,SD 20%,VAT 15%,AIT 5%,RD 3%,ATV 5%,91.37,
69049000,Ceramic Flooring Blocks; Support Or Filler Tiles And The Like,CD 25%,SD 20%,VAT 15%,AIT 5%,RD 3%,ATV 5%,91.37,
69051000,Ceramic Roofing Tiles,CD 25%,SD 20%,VAT 15%,AIT 5%,RD 3%,ATV 5%,91.37,
69059000,Ceramic Chimney-Pots... And Ceramic Constructional Goods;Nes,CD 25%,SD 20%,VAT 15%,AIT 5%,RD 3%,ATV 5%,91.37,
69060000,Ceramic Pipes; Conduits; Guttering And Pipe Fittings,CD 25%,SD 20%,VAT 15%,AIT 5%,RD 3%,ATV 5%,91.37,
69072100,Of a water absorption coefficient by weight not exceeding 0.5 %,CD 25%,SD 60%,VAT 15%,AIT 5%,RD 3%,ATV 5%,153.49,
69072200,Of a water absorption coefficient by weight not exceeding 0.5 %,CD 25%,SD 60%,VAT 15%,AIT 5%,RD 3%,ATV 5%,153.49,
69072300,Of a water absorption coefficient by weight exceeding 10 %,CD 25%,SD 60%,VAT 15%,AIT 5%,RD 3%,ATV 5%,153.49,
69073000,Mosaic cubes and the like; other than those of subheading 6907.40,CD 25%,SD 60%,VAT 15%,AIT 5%,RD 3%,ATV 5%,153.49,
69074000,Finishing ceramics,CD 25%,SD 60%,VAT 15%,AIT 5%,RD 3%,ATV 5%,153.49,
69091100,Ceramic Wares For Laboratory... Use; Of Porcelain Or China,CD 1%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,27.55,
69091200,Ceramic Wares For Laboratory...Use; Having A Hardness >=9 On The Mohsscale,CD 1%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,27.55,
69091910,Ceramic Wares For Lab.Use(Excl.Porcelain Or China)Having A Hardness <9mohs,CD 5%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,32.4,
69091990,Ceramic Wares For Lab.Use(Excl.Porcelain Or China)Having A Hardness <9mohs,CD 5%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,32.4,
69099000,Ceramic (Agricultural) Troughs; Tubs...; Ceramic Pot; Jars...; Nes,CD 5%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,32.4,
